No,TKP,waktu kejadian,jenis kendaraan,tipe kecelakaan,penyebab,korban,tingkat korban,Jenis kecelakaan
52,Jl. Soekarno Hatta ,Sepi,R2,Tabrak Samping,tidak terampil,Meninggal dunia,rendah,Berat
53,Jl. Soekarno Hatta ,Ramai,R2,Tabrak Depan,tidak tertib,Luka Ringan,rendah,Sedang
54,Jl. Jendral Sudirman  ,Ramai,R4,Tabrak Samping,tidak terampil,Luka Berat,rendah,Berat
55,Jl. Soekarno Hatta ,Sepi,R2,Tabrak Manusia,penyebab lain,Luka Ringan,rendah,Sedang
56,Jl. AH.Nasution ,Sepi,R2,Tabrak Depan,lengah,Luka Ringan,rendah,Sedang
57,Jl. Ahmad Yani ,Sedang,R2,Tabrak Depan,lengah,Luka Ringan,rendah,Sedang
58,Jl. Suryasumantri ,Sepi,R2,Tabrak Manusia,lengah,Luka Ringan,rendah,Sedang
59,Jl. Peta ,Sedang,R2,Tabrak Depan,lengah,Luka Ringan,rendah,Sedang
60,Jl.ibu Inggit Garnasih ,Sedang,R2,Tabrak Depan,lengah,Luka Ringan,rendah,Sedang
61,Jl. Arcamanik ,Ramai,R4,Tabrak Manusia,tidak tertib,Luka Ringan,rendah,Sedang
62,Jl. Cigadung Raya ,Ramai,R2,Tabrak Depan,tidak terampil,Luka Ringan,rendah,Sedang
63,Jl.PHH.Mustopa ,Sepi,R2,Tabrak Manusia,lengah,Meninggal dunia,Tinggi,Berat
64,Jl. Ranca Numpang ,Sedang,R2,Tabrak Depan,tidak terampil,Meninggal dunia,Tinggi,Berat
65,Jl. Babakan Ciparay ,Sepi,R2,Tabrak Depan,tidak terampil,Luka Ringan,rendah,Sedang
66,Jl. Pasir Koja ,Sepi,R2,Tabrak Depan,tidak tertib,Luka Ringan,rendah,Sedang
67,Jl. DR.Setiabudhi ,Sepi,R2,Tabrak Manusia,tidak terampil,Meninggal dunia,rendah,Berat
68,Jl. Ibrahim Adjie,Sepi,R4,Tabrak Depan,penyebab lain,Luka Ringan,rendah,Sedang
69,Jl. Ibrahim Adjie,Sepi,R4,Tabrak Tunggal,Mengantuk,Luka Ringan,Tinggi,Sedang
